Campaign Name;Date;# of Purchase
Control Campaign;1.08.2019;618
Control Campaign;2.08.2019;511
Control Campaign;3.08.2019;372
Control Campaign;4.08.2019;340
Control Campaign;5.08.2019;415
Control Campaign;6.08.2019;764
Control Campaign;7.08.2019;499
Control Campaign;8.08.2019;462
Control Campaign;9.08.2019;501
Control Campaign;10.08.2019;734
Control Campaign;11.08.2019;475
Control Campaign;12.08.2019;794
Control Campaign;13.08.2019;766
Control Campaign;14.08.2019;788
Control Campaign;15.08.2019;366
Control Campaign;16.08.2019;438
Control Campaign;17.08.2019;222
Control Campaign;18.08.2019;243
Control Campaign;19.08.2019;542
Control Campaign;20.08.2019;299
Control Campaign;21.08.2019;800
Control Campaign;22.08.2019;387
Control Campaign;23.08.2019;766
Control Campaign;24.08.2019;585
Control Campaign;25.08.2019;386
Control Campaign;26.08.2019;251
Control Campaign;27.08.2019;605
Control Campaign;28.08.2019;643
Control Campaign;29.08.2019;334
Control Campaign;30.08.2019;670
